question_id,p_at_1,p_at_5,rr,ap
2123,0.000,0.200,0.250,0.250
2365,0.000,0.000,0.000,0.000
2144,0.000,0.000,0.000,0.000
2386,0.000,0.400,0.333,0.417
2143,0.000,0.600,0.500,0.589
2021,0.000,0.200,0.333,0.449
2263,1.000,0.200,1.000,0.554
2020,0.000,0.600,0.500,0.572
2262,0.000,0.000,0.000,0.000
2140,1.000,0.600,1.000,0.861
2382,0.000,0.000,0.083,0.083
2381,0.000,0.000,0.143,0.231
2019,0.000,0.000,0.091,0.091
2139,0.000,0.600,0.500,0.639
2259,0.000,0.000,0.000,0.000
2379,0.000,0.000,0.083,0.083
2136,0.000,0.600,0.500,0.503
2378,1.000,0.600,1.000,0.636
2377,0.000,0.000,0.143,0.205
2134,0.000,0.200,0.500,0.500
2376,0.000,0.000,0.167,0.226
2276,0.000,0.000,0.000,0.000
2154,0.000,0.200,0.200,0.200
2032,0.000,0.000,0.167,0.230
2031,0.000,0.000,0.000,0.000
2273,0.000,0.200,0.333,0.267
2151,0.000,0.000,0.125,0.226
2393,0.000,0.000,0.111,0.111
2392,1.000,1.000,1.000,0.933
2391,0.000,0.200,0.250,0.324
2029,1.000,0.400,1.000,0.598
2149,0.000,0.800,0.500,0.755
2269,0.000,0.000,0.167,0.167
2268,0.000,0.400,0.250,0.364
2388,1.000,0.200,1.000,0.667
2266,0.000,0.400,0.333,0.356
2045,0.000,0.400,0.333,0.411
2287,0.000,0.400,0.500,0.450
2165,1.000,0.600,1.000,0.678
2043,0.000,0.000,0.000,0.000
2285,0.000,0.000,0.167,0.199
2162,0.000,0.000,0.000,0.000
2040,0.000,0.000,0.143,0.143
2282,1.000,0.800,1.000,0.820
2281,0.000,0.000,0.143,0.183
2039,0.000,0.200,0.200,0.200
2159,0.000,0.000,0.000,0.000
2279,0.000,0.000,0.000,0.000
2157,0.000,0.000,0.000,0.000
2035,0.000,0.400,0.333,0.441
2277,1.000,0.600,1.000,0.669
2056,0.000,0.200,0.200,0.321
2055,0.000,0.000,0.000,0.000
2297,0.000,0.200,0.500,0.500
2175,1.000,1.000,1.000,0.953
2053,1.000,0.400,1.000,1.000
2052,1.000,0.400,1.000,0.707
2294,1.000,0.400,1.000,0.671
2293,1.000,0.800,1.000,0.810
2171,0.000,0.000,0.071,0.102
2170,0.000,0.000,0.000,0.000
2048,1.000,0.600,1.000,0.741
2047,0.000,0.200,0.200,0.200
2289,1.000,1.000,1.000,1.000
2288,0.000,0.000,0.143,0.192
2188,1.000,0.600,1.000,0.830
2187,0.000,0.000,0.143,0.143
2186,0.000,0.000,0.100,0.100
2185,0.000,0.000,0.000,0.000
2184,0.000,0.600,0.500,0.682
2061,1.000,0.400,1.000,0.810
2181,0.000,0.000,0.167,0.167
2058,1.000,0.400,1.000,1.000
2057,0.000,0.200,0.250,0.351
2299,0.000,0.600,0.500,0.593
2191,1.000,0.600,1.000,0.730
2078,0.000,0.000,0.000,0.000
2077,0.000,0.000,0.167,0.167
2076,0.000,0.200,0.200,0.262
2075,0.000,0.200,0.333,0.267
2074,0.000,0.400,0.333,0.436
2073,0.000,0.600,0.500,0.566
2072,1.000,0.400,1.000,0.739
2071,0.000,0.200,0.333,0.395
2069,0.000,0.200,0.500,0.341
2189,0.000,0.000,0.000,0.000
2080,0.000,0.000,0.143,0.193
2088,0.000,0.600,0.333,0.497
2086,0.000,0.000,0.000,0.000
2084,0.000,0.000,0.143,0.143
2079,0.000,0.000,0.000,0.000
2091,1.000,0.800,1.000,0.928
2099,0.000,0.400,0.500,0.430
2094,0.000,0.200,0.200,0.200
1909,0.000,0.400,0.250,0.308
1906,0.000,0.200,0.333,0.333
1903,0.000,0.400,0.500,0.455
1919,0.000,0.000,0.000,0.000
1918,0.000,0.200,0.250,0.250
1914,1.000,0.800,1.000,0.877
1911,1.000,0.400,1.000,0.833
1920,1.000,0.600,1.000,0.867
1928,1.000,0.400,1.000,0.625
1926,0.000,0.200,0.333,0.333
1924,0.000,0.000,0.000,0.000
1932,1.000,0.400,1.000,0.750
1930,1.000,0.800,1.000,0.797
1938,0.000,0.000,0.167,0.194
1936,1.000,0.400,1.000,0.792
1934,0.000,0.200,0.250,0.250
1942,1.000,0.800,1.000,0.887
1949,0.000,0.400,0.333,0.378
1947,0.000,0.800,0.500,0.717
1945,1.000,1.000,1.000,1.000
1954,0.000,0.200,0.200,0.200
1952,0.000,0.000,0.000,0.000
1950,1.000,0.600,1.000,0.850
1958,1.000,1.000,1.000,1.000
1965,0.000,0.000,0.000,0.000
1961,0.000,0.400,0.500,0.500
1969,0.000,0.200,0.200,0.386
1967,1.000,0.600,1.000,0.791
1976,1.000,0.600,1.000,1.000
1974,1.000,1.000,1.000,1.000
1971,0.000,0.000,0.167,0.244
1979,0.000,0.000,0.000,0.000
1977,0.000,0.000,0.000,0.000
1986,0.000,0.200,0.250,0.353
1984,1.000,0.800,1.000,0.853
1982,0.000,0.000,0.100,0.100
1980,1.000,0.800,1.000,0.782
1998,0.000,0.400,0.333,0.403
1996,1.000,0.800,1.000,0.822
1994,0.000,0.200,0.500,0.500
1992,0.000,0.200,0.200,0.200
1999,0.000,0.000,0.000,0.000
1898,0.000,0.400,0.500,0.479
1896,1.000,0.200,1.000,0.667
1894,0.000,0.200,0.500,0.324
1895,0.000,0.400,0.500,0.500
1897,0.000,0.000,0.167,0.167
1899,1.000,1.000,1.000,1.000
1991,0.000,0.000,0.000,0.000
1993,1.000,0.800,1.000,0.860
1995,0.000,0.000,0.100,0.100
1997,1.000,0.200,1.000,0.667
1989,0.000,0.000,0.000,0.000
1981,0.000,0.800,0.500,0.679
1983,0.000,0.600,0.333,0.501
1985,1.000,0.200,1.000,0.496
1990,0.000,0.000,0.000,0.000
1978,0.000,0.000,0.000,0.000
1970,1.000,0.600,1.000,0.711
1973,0.000,0.000,0.167,0.167
1975,0.000,0.000,0.167,0.167
1966,0.000,0.000,0.000,0.000
1968,0.000,0.000,0.111,0.146
1960,0.000,0.000,0.000,0.000
1962,0.000,0.200,0.250,0.202
1956,0.000,0.800,0.500,0.679
1959,0.000,0.000,0.100,0.100
1951,0.000,0.000,0.000,0.000
1953,0.000,0.400,0.500,0.500
1944,0.000,0.200,0.250,0.196
1946,0.000,0.200,0.333,0.326
1948,0.000,0.000,0.000,0.000
1941,0.000,0.400,0.250,0.325
1943,1.000,0.400,1.000,0.619
1935,0.000,0.400,0.500,0.500
1937,0.000,0.000,0.000,0.000
1939,0.000,0.200,0.500,0.387
1931,0.000,0.200,0.333,0.333
1922,0.000,0.000,0.000,0.000
1925,0.000,0.000,0.100,0.141
1927,1.000,0.200,1.000,0.479
1929,0.000,0.200,0.250,0.250
1921,0.000,0.000,0.091,0.091
1912,0.000,0.600,0.333,0.638
1916,0.000,0.600,0.333,0.511
1910,1.000,0.800,1.000,0.746
1900,1.000,1.000,1.000,0.986
1904,0.000,0.200,0.500,0.321
1908,0.000,0.400,0.333,0.413
2093,0.000,0.000,0.167,0.167
2098,0.000,0.000,0.111,0.111
2090,1.000,0.800,1.000,0.925
2092,0.000,0.200,0.200,0.326
2083,0.000,0.000,0.167,0.183
2085,0.000,0.000,0.000,0.000
2087,1.000,0.600,1.000,0.771
2089,0.000,0.800,0.500,0.707
2081,0.000,0.000,0.000,0.000
2068,0.000,0.000,0.000,0.000
2192,0.000,0.600,0.333,0.563
2193,1.000,0.800,1.000,0.834
2194,0.000,0.000,0.000,0.000
2195,1.000,1.000,1.000,0.938
2196,1.000,0.600,1.000,0.825
2197,1.000,0.600,1.000,0.707
2198,0.000,0.600,0.333,0.514
2199,0.000,0.000,0.000,0.000
2190,1.000,0.800,1.000,0.762
2070,0.000,0.000,0.077,0.077
2178,0.000,0.000,0.143,0.143
2179,0.000,0.000,0.100,0.177
2059,0.000,0.200,0.200,0.200
2182,0.000,0.400,0.333,0.504
2062,0.000,0.200,0.200,0.200
2063,0.000,0.000,0.000,0.000
2064,1.000,0.200,1.000,0.496
2065,0.000,0.400,0.500,0.493
2066,1.000,0.600,1.000,0.708
2067,0.000,0.000,0.000,0.000
2167,0.000,0.000,0.000,0.000
2168,1.000,0.600,1.000,0.917
2169,1.000,0.400,1.000,0.697
2049,0.000,0.000,0.000,0.000
2292,0.000,0.000,0.000,0.000
2050,0.000,0.200,0.333,0.306
2051,0.000,0.000,0.000,0.000
2173,0.000,0.000,0.143,0.183
2295,1.000,0.400,1.000,0.750
2296,0.000,0.400,0.500,0.542
2054,0.000,0.400,0.500,0.493
2176,0.000,0.000,0.000,0.000
2298,0.000,0.000,0.000,0.000
2290,0.000,0.000,0.100,0.100
2156,0.000,0.400,0.500,0.452
2278,0.000,0.600,0.333,0.525
2036,0.000,0.200,0.250,0.250
2037,0.000,0.000,0.000,0.000
2038,0.000,0.400,0.500,0.444
2280,1.000,1.000,1.000,0.958
2160,1.000,1.000,1.000,1.000
2161,0.000,0.000,0.000,0.000
2283,0.000,0.000,0.125,0.125
2284,0.000,0.000,0.143,0.143
2164,0.000,0.000,0.000,0.000
2286,0.000,0.200,0.200,0.200
2044,1.000,1.000,1.000,0.986
2166,0.000,0.000,0.000,0.000
2387,1.000,0.600,1.000,0.657
2145,1.000,0.400,1.000,0.750
2025,1.000,0.600,1.000,0.710
2026,0.000,0.000,0.100,0.100
2027,0.000,0.400,0.500,0.450
2028,0.000,0.400,0.500,0.500
2390,0.000,0.200,0.200,0.200
2270,1.000,0.600,1.000,1.000
2271,0.000,0.200,0.200,0.227
2272,0.000,0.200,0.250,0.268
2030,0.000,0.200,0.200,0.243
2152,0.000,0.600,0.500,0.517
2153,0.000,0.400,0.500,0.500
2275,0.000,0.000,0.000,0.000
2033,1.000,0.800,1.000,0.887
2155,0.000,0.200,0.500,0.375
2255,0.000,0.000,0.000,0.000
2013,1.000,0.600,1.000,0.844
2135,0.000,0.000,0.000,0.000
2257,0.000,0.600,0.500,0.645
2015,0.000,0.000,0.125,0.174
2016,0.000,0.600,0.333,0.525
2017,1.000,0.800,1.000,1.000
2018,1.000,1.000,1.000,1.000
2380,0.000,0.400,0.500,0.450
2260,0.000,0.000,0.143,0.183
2261,0.000,0.400,0.500,0.475
2383,0.000,0.200,0.333,0.333
2141,0.000,0.400,0.500,0.443
2384,0.000,0.400,0.500,0.433
2142,0.000,0.000,0.000,0.000
2264,0.000,0.400,0.250,0.360
2022,1.000,0.600,1.000,0.734
2265,0.000,0.200,0.250,0.250
2023,1.000,0.600,1.000,0.781
2244,1.000,0.200,1.000,1.000
2245,0.000,0.000,0.000,0.000
2003,0.000,0.000,0.125,0.163
2246,1.000,0.600,1.000,0.817
2368,0.000,0.000,0.000,0.000
2126,0.000,0.000,0.000,0.000
2248,0.000,0.200,0.200,0.245
2249,1.000,0.600,1.000,0.793
2007,0.000,0.800,0.500,0.741
2009,0.000,0.200,0.200,0.200
2371,1.000,0.800,1.000,0.948
2252,0.000,0.200,0.250,0.250
2010,1.000,1.000,1.000,0.910
2011,1.000,0.400,1.000,0.833
2254,1.000,0.200,1.000,1.000
2012,0.000,0.000,0.083,0.083
2233,0.000,0.400,0.500,0.583
2356,1.000,0.200,1.000,1.000
2357,1.000,0.800,1.000,0.804
2115,0.000,0.000,0.091,0.091
2237,0.000,0.400,0.250,0.412
2359,1.000,1.000,1.000,0.929
2117,0.000,0.000,0.083,0.113
2118,0.000,0.000,0.000,0.000
2360,0.000,0.000,0.083,0.083
2240,1.000,0.800,1.000,0.943
2241,0.000,0.400,0.250,0.342
2242,1.000,0.600,1.000,0.684
2000,0.000,0.400,0.500,0.457
2122,0.000,0.200,0.333,0.333
2109,0.000,0.200,0.250,0.250
2101,0.000,0.000,0.167,0.167
2223,0.000,0.000,0.000,0.000
2103,1.000,0.200,1.000,0.643
2104,0.000,0.200,0.200,0.200
2226,0.000,0.600,0.500,0.488
2227,1.000,0.800,1.000,0.877
2228,0.000,0.200,0.500,0.353
2350,0.000,0.200,0.500,0.379
2230,1.000,0.800,1.000,0.885
2231,1.000,0.800,1.000,0.948
2353,0.000,0.200,0.250,0.278
2111,0.000,0.000,0.143,0.143
2211,0.000,0.000,0.083,0.083
2212,0.000,0.000,0.000,0.000
2213,0.000,0.000,0.000,0.000
2214,0.000,0.000,0.000,0.000
2215,1.000,0.600,1.000,0.917
2216,0.000,0.000,0.091,0.091
2217,0.000,0.000,0.143,0.148
2218,0.000,0.200,0.333,0.306
2341,0.000,0.200,0.200,0.200
2342,0.000,0.200,0.333,0.333
2329,0.000,0.200,0.250,0.250
2200,0.000,0.000,0.000,0.000
2202,0.000,0.000,0.000,0.000
2204,0.000,0.000,0.000,0.000
2205,0.000,0.200,0.500,0.393
2328,0.000,0.000,0.143,0.196
2331,0.000,0.000,0.125,0.134
2318,0.000,0.000,0.083,0.083
2310,1.000,0.200,1.000,0.500
2312,0.000,0.200,0.250,0.236
2315,1.000,1.000,1.000,1.000
2317,0.000,0.000,0.100,0.100
2307,0.000,0.400,0.333,0.467
2300,1.000,0.600,1.000,0.678
2302,0.000,0.200,0.200,0.269
2305,0.000,0.000,0.125,0.125
